"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","PROKKA_11072017","PROKKA_11072017_DJ","PROKKA_11162017"
"nuoL_1","","NADH-quinone oxidoreductase subunit L","3","3","1","5","5471","","","","1868","1868","1868","vin_ca_01666","vin_dj_01665","vin01_02674"
"dauA_2","","C4-dicarboxylic acid transporter DauA","3","3","1","5","5470","","","","1598","1598","1598","vin_ca_01667","vin_dj_01666","vin01_02673"
"pimC","","GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol dimannoside mannosyltransferase","3","3","1","5","5469","","","","1115","1115","1115","vin_ca_01668","vin_dj_01667","vin01_02672"
"group_927","","hypothetical protein","3","3","1","5","5467","","","","992","992","992","vin_ca_01670","vin_dj_01669","vin01_02670"
"cspA_2","","Major cold shock protein CspA","3","3","1","5","5463","","","","209","209","209","vin_ca_01672","vin_dj_01671","vin01_02668"
"group_929","","hypothetical protein","3","3","1","5","5461","","","","428","428","428","vin_ca_01674","vin_dj_01673","vin01_02666"
"group_930","","hypothetical protein","3","3","1","5","5458","","","","347","350","349","vin_ca_01676","vin_dj_01675","vin01_02664"
"rapA_2","","RNA polymerase-associated protein RapA","3","3","1","5","2129","","","","4073","4076","4074","vin_ca_01677","vin_dj_01676","vin01_02663"
"yjbI","","Group 2 truncated hemoglobin YjbI","3","3","1","5","2135","","","","395","395","395","vin_ca_01681","vin_dj_01680","vin01_02655"
"group_933","","hypothetical protein","3","3","1","5","2136","","","","1703","1757","1739","vin_ca_01682","vin_dj_01681","vin01_02654"
"group_934","","hypothetical protein","3","3","1","5","2141","","","","344","344","344","vin_ca_01684","vin_dj_01683","vin01_01610"
"nicP_11","","Porin-like protein NicP","3","3","1","5","2144","","","","1262","1262","1262","vin_ca_01687","vin_dj_01686","vin01_01613"
"group_936","","hypothetical protein","3","3","1","5","2145","","","","464","485","471","vin_ca_01688","vin_dj_01687","vin01_01614"
"group_937","","hypothetical protein","3","3","1","5","2147","","","","275","275","275","vin_ca_01689","vin_dj_01688","vin01_01615"
"group_938","","putative transcriptional regulatory protein","3","3","1","5","2155","","","","698","698","698","vin_ca_01691","vin_dj_01690","vin01_01617"
"group_940","","hypothetical protein","3","3","1","5","2180","","","","227","329","261","vin_ca_01695","vin_dj_01694","vin01_01625"
"fabG_1","","putative oxidoreductase","3","3","1","5","2446","","","","791","791","791","vin_ca_01730","vin_dj_01729","vin01_01482"
"qseB_1","","Transcriptional regulatory protein QseB","3","3","1","5","2448","","","","659","686","668","vin_ca_01731","vin_dj_01730","vin01_01484"
"qseC","","Sensor protein QseC","3","3","1","5","2449","","","","1418","1418","1418","vin_ca_01732","vin_dj_01731","vin01_01485"
"group_944","","hypothetical protein","3","3","1","5","2450","","","","425","425","425","vin_ca_01733","vin_dj_01732","vin01_01486"
"slyX","","Protein SlyX","3","3","1","5","2451","","","","209","209","209","vin_ca_01734","vin_dj_01733","vin01_01487"
"group_946","","hypothetical protein","3","3","1","5","2457","","","","263","263","263","vin_ca_01739","vin_dj_01738","vin01_01489"
"group_947","","hypothetical protein","3","3","1","5","2458","","","","827","827","827","vin_ca_01740","vin_dj_01739","vin01_01490"
"pepN","","Aminopeptidase N","3","3","1","5","2459","","","","2657","2657","2657","vin_ca_01741","vin_dj_01740","vin01_01491"
"group_949","","hypothetical protein","3","3","1","5","2465","","","","491","500","497","vin_ca_01748","vin_dj_01747","vin01_01497"
"group_950","","hypothetical protein","3","3","1","5","2466","","","","938","956","944","vin_ca_01749","vin_dj_01748","vin01_01498"
"group_951","","hypothetical protein","3","3","1","5","2467","","","","938","959","952","vin_ca_01750","vin_dj_01749","vin01_01499"
"gdhB","","NAD-specific glutamate dehydrogenase","3","3","1","5","2470","","","","4856","4865","4862","vin_ca_01753","vin_dj_01752","vin01_01500"
"dhmA","","Haloalkane dehalogenase","3","3","1","5","2472","","","","1019","1019","1019","vin_ca_01755","vin_dj_01754","vin01_01502"
"pyrD","","Dihydroorotate dehydrogenase (quinone)","3","3","1","5","2479","","","","1040","1043","1042","vin_ca_01757","vin_dj_01756","vin01_01508"
"rmf","","Ribosome modulation factor","3","3","1","5","2480","","","","215","215","215","vin_ca_01758","vin_dj_01757","vin01_01509"
"rlmL","","Ribosomal RNA large subunit methyltransferase K/L","3","3","1","5","2481","","","","2213","2216","2215","vin_ca_01759","vin_dj_01758","vin01_01510"
"dac","","D-alanyl-D-alanine carboxypeptidase","3","3","1","5","2483","","","","1460","1460","1460","vin_ca_01760","vin_dj_01759","vin01_01511"
"dgt","","Deoxyguanosinetriphosphate triphosphohydrolase","3","3","1","5","2485","","","","1331","1331","1331","vin_ca_01762","vin_dj_01761","vin01_01513"
"yhaJ_1","","HTH-type transcriptional regulator YhaJ","3","3","1","5","2498","","","","926","926","926","vin_ca_01775","vin_dj_01774","vin01_01541"
"azoR","","FMN-dependent NADH-azoreductase","3","3","1","5","2500","","","","599","599","599","vin_ca_01776","vin_dj_01775","vin01_01542"
"rhlE_3","","ATP-dependent RNA helicase RhlE","3","3","1","5","2501","","","","1319","1319","1319","vin_ca_01777","vin_dj_01776","vin01_01544"
"egtB","","Hercynine oxygenase","3","3","1","5","2503","","","","1277","1283","1279","vin_ca_01779","vin_dj_01778","vin01_01546"
"atm1","","ATM1-type heavy metal exporter","3","3","1","5","2504","","","","1808","1808","1808","vin_ca_01780","vin_dj_01779","vin01_01547"
"pgrR_3","","HTH-type transcriptional regulator PgrR","3","3","1","5","2505","","","","920","920","920","vin_ca_01781","vin_dj_01780","vin01_01548"
"group_965","","hypothetical protein","3","3","1","5","2509","","","","179","179","179","vin_ca_01790","vin_dj_01789","vin01_01561"
"nth","","Endonuclease III","3","3","1","5","2510","","","","638","638","638","vin_ca_01791","vin_dj_01790","vin01_01562"
"rsxD","","Electron transport complex subunit RsxD","3","3","1","5","2513","","","","1031","1031","1031","vin_ca_01794","vin_dj_01793","vin01_01565"
"rsxA_1","","Electron transport complex subunit RsxA","3","3","1","5","2518","","","","584","584","584","vin_ca_01797","vin_dj_01796","vin01_01568"
"metG","","Methionine--tRNA ligase","3","3","1","5","2519","","","","2045","2207","2099","vin_ca_01798","vin_dj_01797","vin01_01569"
"apbC","","Iron-sulfur cluster carrier protein","3","3","1","5","2524","","","","1094","1094","1094","vin_ca_01799","vin_dj_01798","vin01_01570"
"dcd","","dCTP deaminase","3","3","1","5","2530","","","","566","566","566","vin_ca_01800","vin_dj_01799","vin01_01578"
"group_972","","hypothetical protein","3","3","1","5","2547","","","","1316","1337","1330","vin_ca_01803","vin_dj_01802","vin01_01586"
"group_973","","hypothetical protein","3","3","1","5","2540","","","","497","497","497","vin_ca_01807","vin_dj_01806","vin01_01590"
"group_974","","hypothetical protein","3","3","1","5","2537","","","","497","497","497","vin_ca_01811","vin_dj_01810","vin01_01593"
"group_975","","hypothetical protein","3","3","1","5","3861","","","","464","464","464","vin_ca_01813","vin_dj_01812","vin01_01595"
"dinG","","putative ATP-dependent helicase DinG","3","3","1","5","3867","","","","2144","2144","2144","vin_ca_01814","vin_dj_01813","vin01_01596"
"estB_2","","Esterase EstB","3","3","1","5","3869","","","","1151","1151","1151","vin_ca_01816","vin_dj_01815","vin01_01604"
"pdxH","","Pyridoxine/pyridoxamine 5'-phosphate oxidase","3","3","1","5","3871","","","","647","647","647","vin_ca_01818","vin_dj_01817","vin01_01606"
"slyB","","Outer membrane lipoprotein SlyB","3","3","1","5","3879","","","","464","464","464","vin_ca_01820","vin_dj_01819","vin01_01791"
"livF_1","","High-affinity branched-chain amino acid transport ATP-binding protein LivF","3","3","1","5","3847","","","","701","701","701","vin_ca_01829","vin_dj_01828","vin01_01800"
"lptB_2","","Lipopolysaccharide export system ATP-binding protein LptB","3","3","1","5","3846","","","","764","767","766","vin_ca_01830","vin_dj_01829","vin01_01801"
"group_982","","hypothetical protein","3","3","1","5","3845","","","","1256","1256","1256","vin_ca_01831","vin_dj_01830","vin01_01802"
"livH_1","","High-affinity branched-chain amino acid transport system permease protein LivH","3","3","1","5","3844","","","","923","923","923","vin_ca_01832","vin_dj_01831","vin01_01803"
"braC","","Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein","3","3","1","5","3843","","","","1121","1121","1121","vin_ca_01833","vin_dj_01832","vin01_01804"
"phnE_3","","Phosphate-import permease protein PhnE","3","3","1","5","3832","","","","758","767","761","vin_ca_01844","vin_dj_01843","vin01_01806"
"phnE_4","","Phosphate-import permease protein PhnE","3","3","1","5","3831","","","","830","830","830","vin_ca_01845","vin_dj_01844","vin01_01807"
"phnD_2","","Phosphate-import protein PhnD","3","3","1","5","3828","","","","851","851","851","vin_ca_01847","vin_dj_01846","vin01_01809"
"dgkA","","Diacylglycerol kinase","3","3","1","5","3827","","","","386","452","430","vin_ca_01848","vin_dj_01847","vin01_01811"
"fucP_1","","L-fucose-proton symporter","3","3","1","5","6425","","","","1328","1331","1329","vin_ca_00338","vin_dj_00338","vin01_03939"
"hyi_1","","Hydroxypyruvate isomerase","3","3","1","5","3826","","","","788","788","788","vin_ca_01849","vin_dj_01848","vin01_01812"
"recR","","Recombination protein RecR","3","3","1","5","3823","","","","599","599","599","vin_ca_01852","vin_dj_01851","vin01_02602"
"group_992","","hypothetical protein","3","3","1","5","3822","","","","293","293","293","vin_ca_01853","vin_dj_01852","vin01_02601"
"cydB_2","","Cytochrome bd-I ubiquinol oxidase subunit 2","3","3","1","5","3821","","","","1139","1139","1139","vin_ca_01855","vin_dj_01854","vin01_02599"
"cydA","","Cytochrome bd ubiquinol oxidase subunit 1","3","3","1","5","3820","","","","1613","1613","1613","vin_ca_01856","vin_dj_01855","vin01_02598"
"group_995","","hypothetical protein","3","3","1","5","3819","","","","212","212","212","vin_ca_01857","vin_dj_01856","vin01_02597"
"hemN_2","","Oxygen-independent coproporphyrinogen III oxidase","3","3","1","5","3817","","","","1376","1376","1376","vin_ca_01859","vin_dj_01858","vin01_02595"
"copA_2","","putative copper-importing P-type ATPase A","3","3","1","5","3814","","","","2402","2402","2402","vin_ca_01862","vin_dj_01861","vin01_02592"
"group_998","","hypothetical protein","3","3","1","5","3811","","","","1412","1412","1412","vin_ca_01864","vin_dj_01863","vin01_02590"
"ccoP2","","Cbb3-type cytochrome c oxidase subunit CcoP2","3","3","1","5","3810","","","","920","929","923","vin_ca_01865","vin_dj_01864","vin01_02589"
"nicP_16","","Porin-like protein NicP","2","2","1","5","1673","124","5","","1331","1331","1331","vin_ca_02423","vin_dj_02421",""
"group_100","","hypothetical protein","2","2","1","5","5136","35","6","","209","209","209","vin_ca_01532","vin_dj_01531",""
"group_101","","Alpha-ketoglutaric semialdehyde dehydrogenase","2","2","1","5","430","285","1","","1577","1577","1577","vin_ca_00483","vin_dj_00483",""
"group_102","","Alpha-ketoglutaric semialdehyde dehydrogenase","2","2","1","5","3392","20","18","","1580","1580","1580","vin_ca_04619","vin_dj_04610",""
"group_113","","hypothetical protein","2","2","1","5","4182","23","4","","824","824","824","vin_ca_00746","vin_dj_00746",""
"dmpF_2","","Acetaldehyde dehydrogenase","2","2","1","5","3448","18","4","","938","938","938","vin_ca_03927","vin_dj_03919",""
"group_125","","hypothetical protein","2","2","1","5","5141","35","1","","215","215","215","vin_ca_01527","vin_dj_01526",""
"group_126","","hypothetical protein","2","2","1","5","1303","25","18","","602","602","602","vin_ca_03400","vin_dj_03393",""
"nicP_19","","Porin-like protein NicP","2","2","1","5","4659","22","2","","1277","1277","1277","vin_ca_02924","vin_dj_02920",""
"nicP_21","","Porin-like protein NicP","2","2","1","5","1375","173","2","","1280","1280","1280","vin_ca_03557","vin_dj_03550",""
"group_129","","D-xylulose reductase","2","2","1","5","63","67","9","","1043","1043","1043","vin_ca_01894","vin_dj_01893",""
"lamB_4","","Maltoporin","2","2","1","5","1645","122","6","","1274","1274","1274","vin_ca_02512","vin_dj_02510",""
"isfD_2","","Sulfoacetaldehyde reductase","2","2","1","5","3882","612","1","","758","758","758","vin_ca_02884","vin_dj_02880",""
"algE5_3","","Poly(beta-D-mannuronate) C5 epimerase 5","2","2","1","5","2360","9","17","","2996","2996","2996","vin_ca_03139","vin_dj_03132",""
"algE2","","Poly(beta-D-mannuronate) C5 epimerase 2","2","2","1","5","1917","45","9","","2996","2996","2996","vin_ca_04796","vin_dj_04787",""
"group_137","","hypothetical protein","2","2","1","5","1082","12","1","","449","449","449","vin_ca_02033","vin_dj_02032",""
"gapN_1","","NADP-dependent glyceraldehyde-3-phosphate dehydrogenase","2","2","1","5","1105","12","30","","1604","1604","1604","vin_ca_02056","vin_dj_02055",""
"fliG_1","","Flagellar motor switch protein FliG","2","2","1","5","7274","2","28","","833","995","914","vin_ca_02257","vin_dj_02256",""
"benM_5","","HTH-type transcriptional regulator BenM","2","2","1","5","726","1","66","","944","944","944","vin_ca_03330","vin_dj_03323",""
"benM_6","","HTH-type transcriptional regulator BenM","2","2","1","5","717","1","57","","944","944","944","vin_ca_03339","vin_dj_03332",""
"group_1410","","hypothetical protein","2","2","1","5","701","1","41","","275","293","284","vin_ca_03355","vin_dj_03348",""
"group_1414","","hypothetical protein","2","2","1","5","1311","25","10","","1202","1202","1202","vin_ca_03408","vin_dj_03401",""
"fpvA_6","","Ferripyoverdine receptor","2","2","1","5","6945","19","26","","2057","2057","2057","vin_ca_02387","vin_dj_02385",""
"fpvA_9","","Ferripyoverdine receptor","2","2","1","5","4934","43","9","","2438","2438","2438","vin_ca_04123","vin_dj_04115",""
"fpvA_10","","Ferripyoverdine receptor","2","2","1","5","4753","58","8","","2396","2396","2396","vin_ca_04205","vin_dj_04197",""
"lamB_5","","Maltoporin","2","2","1","5","1768","123","2","","1238","1238","1238","vin_ca_02533","vin_dj_02530",""
"ribN_2","","Riboflavin transporter","2","2","1","5","1372","173","1","","866","866","866","vin_ca_03560","vin_dj_03553",""
"ribN_3","","Riboflavin transporter","2","2","1","5","3263","8","34","","866","866","866","vin_ca_04682","vin_dj_04673",""
"ibpA_1","","Small heat shock protein IbpA","2","2","1","5","6078","96","7","","458","458","458","vin_ca_03602","vin_dj_03594",""
"xylG_2","","2-hydroxymuconic semialdehyde dehydrogenase","2","2","1","5","3600","17","8","","1460","1460","1460","vin_ca_02858","vin_dj_02854",""
"group_152","","hypothetical protein","2","2","1","5","3929","6","2","","836","836","836","vin_ca_02997","vin_dj_02993",""
"group_153","","hypothetical protein","2","2","1","5","4771","93","1","","815","1313","1064","vin_ca_04236","vin_dj_04228",""
"dmlR_15","","HTH-type transcriptional regulator DmlR","2","2","1","5","2363","9","20","","881","881","881","vin_ca_03142","vin_dj_03135",""
"group_1631","","hypothetical protein","2","2","1","5","5892","65","4","","317","317","317","vin_ca_03881","vin_dj_03873",""
"group_1632","","hypothetical protein","2","2","1","5","2038","44","2","","317","317","317","vin_ca_04906","vin_dj_04897",""
"group_164","","hypothetical protein","2","2","1","5","6770","47","4","","392","392","392","vin_ca_03795","vin_dj_03787",""
"group_167","","hypothetical protein","2","2","1","5","5567","29","16","","704","704","704","vin_ca_03904","vin_dj_03896",""
"group_1906","","hypothetical protein","2","2","1","5","3282","8","15","","293","395","344","vin_ca_04663","vin_dj_04654",""
"hexR_4","","HTH-type transcriptional regulator HexR","2","2","1","5","3265","8","36","","932","932","932","vin_ca_04680","vin_dj_04671",""
"ybbH","","putative HTH-type transcriptional regulator YbbH","2","2","1","5","3257","8","28","","929","929","929","vin_ca_04688","vin_dj_04679",""
"mboIIM","","hypothetical protein","2","2","1","5","2032","44","8","","632","1682","1157","vin_ca_04900","vin_dj_04891",""
"isdG","","Heme-degrading monooxygenase","2","2","1","5","798","194","1","","305","305","305","vin_ca_00005","vin_dj_00005",""
"yfeX","","putative deferrochelatase/peroxidase YfeX","2","2","1","5","833","194","3","","881","881","881","vin_ca_00006","vin_dj_00006",""
"group_2063","","hypothetical protein","2","2","1","5","834","194","2","","1022","1022","1022","vin_ca_00007","vin_dj_00007",""
"tag","","DNA-3-methyladenine glycosylase 1","2","2","1","5","914","355","2","","584","584","584","vin_ca_00012","vin_dj_00012",""
"yhcR","","Endonuclease YhcR","2","2","1","5","913","355","1","","1703","1703","1703","vin_ca_00013","vin_dj_00013",""
"group_2066","","hypothetical protein","2","2","1","5","836","311","1","","1025","1025","1025","vin_ca_00018","vin_dj_00018",""
"dprA","","DNA processing protein DprA","2","2","1","5","835","311","2","","1100","1100","1100","vin_ca_00019","vin_dj_00019",""
"qorA","","Quinone oxidoreductase 1","2","2","1","5","837","588","1","","977","977","977","vin_ca_00021","vin_dj_00021",""
"group_2069","","hypothetical protein","2","2","1","5","894","40","1","","527","527","527","vin_ca_00024","vin_dj_00024",""
"group_2070","","hypothetical protein","2","2","1","5","893","40","13","","332","332","332","vin_ca_00025","vin_dj_00025",""
"copA_1","","Copper resistance protein A","2","2","1","5","892","40","12","","1865","1865","1865","vin_ca_00026","vin_dj_00026",""
"copB","","Copper resistance protein B","2","2","1","5","891","40","11","","968","968","968","vin_ca_00027","vin_dj_00027",""
"group_2073","","hypothetical protein","2","2","1","5","890","40","10","","497","497","497","vin_ca_00028","vin_dj_00028",""
"group_2074","","hypothetical protein","2","2","1","5","889","40","9","","224","224","224","vin_ca_00029","vin_dj_00029",""
"group_2075","","DNA nickase","2","2","1","5","888","40","8","","473","473","473","vin_ca_00030","vin_dj_00030",""
"group_2076","","hypothetical protein","2","2","1","5","887","40","7","","1127","1127","1127","vin_ca_00031","vin_dj_00031",""
"group_2077","","hypothetical protein","2","2","1","5","886","40","6","","746","746","746","vin_ca_00032","vin_dj_00032",""
"group_2078","","hypothetical protein","2","2","1","5","885","40","5","","716","716","716","vin_ca_00033","vin_dj_00033",""
"group_2079","","hypothetical protein","2","2","1","5","884","40","4","","434","434","434","vin_ca_00034","vin_dj_00034",""
"group_2080","","Cytochrome c-551","2","2","1","5","883","40","3","","314","314","314","vin_ca_00035","vin_dj_00035",""
"ydaM_1","","putative diguanylate cyclase YdaM","2","2","1","5","882","40","2","","1589","1589","1589","vin_ca_00036","vin_dj_00036",""
"yhjQ_1","","putative cysteine-rich protein YhjQ","2","2","1","5","868","57","9","","329","329","329","vin_ca_00040","vin_dj_00040",""
"dosC_1","","Diguanylate cyclase DosC","2","2","1","5","867","57","10","","1394","1394","1394","vin_ca_00041","vin_dj_00041",""
"group_2084","","hypothetical protein","2","2","1","5","866","57","8","","917","917","917","vin_ca_00042","vin_dj_00042",""
"group_2085","","hypothetical protein","2","2","1","5","865","57","7","","566","566","566","vin_ca_00043","vin_dj_00043",""
"isdE","","High-affinity heme uptake system protein IsdE","2","2","1","5","864","57","6","","1028","1028","1028","vin_ca_00044","vin_dj_00044",""
"group_2087","","hypothetical protein","2","2","1","5","863","57","5","","1001","1001","1001","vin_ca_00045","vin_dj_00045",""
"hypB_1","","Hydrogenase isoenzymes nickel incorporation protein HypB","2","2","1","5","862","57","4","","722","722","722","vin_ca_00046","vin_dj_00046",""
"macB","","Macrolide export ATP-binding/permease protein MacB","2","2","1","5","861","57","3","","983","983","983","vin_ca_00047","vin_dj_00047",""
"group_2090","","hypothetical protein","2","2","1","5","860","57","2","","722","722","722","vin_ca_00048","vin_dj_00048",""
"cysC_1","","putative adenylyl-sulfate kinase","2","2","1","5","859","57","1","","596","596","596","vin_ca_00049","vin_dj_00049",""
"group_2092","","putative signaling protein","2","2","1","5","857","528","1","","2153","2153","2153","vin_ca_00051","vin_dj_00051",""
"group_2093","","hypothetical protein","2","2","1","5","855","95","1","","287","287","287","vin_ca_00053","vin_dj_00053",""
"group_2094","","hypothetical protein","2","2","1","5","854","95","2","","398","398","398","vin_ca_00054","vin_dj_00054",""
"ybhR","","Inner membrane transport permease YbhR","2","2","1","5","853","95","3","","1109","1109","1109","vin_ca_00055","vin_dj_00055",""
"ybhS","","Inner membrane transport permease YbhS","2","2","1","5","852","95","4","","1142","1142","1142","vin_ca_00056","vin_dj_00056",""
"ybhF_1","","putative ABC transporter ATP-binding protein YbhF","2","2","1","5","845","95","7","","1781","1781","1781","vin_ca_00057","vin_dj_00057",""
"macA","","Macrolide export protein MacA","2","2","1","5","846","95","6","","1019","1019","1019","vin_ca_00058","vin_dj_00058",""
"ybiH","","putative HTH-type transcriptional regulator YbiH","2","2","1","5","847","95","5","","683","683","683","vin_ca_00059","vin_dj_00059",""
"group_2100","","hypothetical protein","2","2","1","5","765","55","1","","368","368","368","vin_ca_00064","vin_dj_00064",""
"phoC","","Major phosphate-irrepressible acid phosphatase","2","2","1","5","764","55","2","","761","761","761","vin_ca_00065","vin_dj_00065",""
"group_2102","","hypothetical protein","2","2","1","5","761","55","10","","632","632","632","vin_ca_00068","vin_dj_00068",""
"emrE","","Multidrug transporter EmrE","2","2","1","5","760","55","9","","338","338","338","vin_ca_00069","vin_dj_00069",""
"group_2104","","hypothetical protein","2","2","1","5","758","55","7","","440","440","440","vin_ca_00071","vin_dj_00071",""
"group_2105","","hypothetical protein","2","2","1","5","756","55","6","","362","362","362","vin_ca_00072","vin_dj_00072",""
"sttH_1","","Streptothricin hydrolase","2","2","1","5","757","55","5","","563","563","563","vin_ca_00073","vin_dj_00073",""
"group_2107","","hypothetical protein","2","2","1","5","777","333","1","","941","941","941","vin_ca_00076","vin_dj_00076",""
"znuA","","High-affinity zinc uptake system protein ZnuA","2","2","1","5","778","333","2","","893","893","893","vin_ca_00077","vin_dj_00077",""
"group_2109","","hypothetical protein","2","2","1","5","783","645","1","","386","386","386","vin_ca_00081","vin_dj_00081",""
"group_2110","","Gluconate 2-dehydrogenase cytochrome c subunit","2","2","1","5","975","231","1","","1319","1319","1319","vin_ca_00085","vin_dj_00085",""
"ypmQ","","SCO1 protein ","2","2","1","5","973","231","2","","635","635","635","vin_ca_00087","vin_dj_00087",""
"group_2112","","hypothetical protein","2","2","1","5","968","244","1","","587","587","587","vin_ca_00090","vin_dj_00090",""
"group_2113","","hypothetical protein","2","2","1","5","967","244","2","","767","767","767","vin_ca_00091","vin_dj_00091",""
"group_2114","","hypothetical protein","2","2","1","5","966","244","3","","206","206","206","vin_ca_00092","vin_dj_00092",""
"ctaG","","Cytochrome c oxidase assembly protein CtaG","2","2","1","5","963","520","1","","554","554","554","vin_ca_00094","vin_dj_00094",""
"group_2116","","hypothetical protein","2","2","1","5","959","633","1","","650","650","650","vin_ca_00097","vin_dj_00097",""
"group_2117","","hypothetical protein","2","2","1","5","951","453","1","","329","329","329","vin_ca_00100","vin_dj_00100",""
"group_2118","","hypothetical protein","2","2","1","5","943","385","1","","983","983","983","vin_ca_00104","vin_dj_00104",""
"pupB_1","","Ferric-pseudobactin BN7/BN8 receptor","2","2","1","5","944","385","2","","2381","2381","2381","vin_ca_00105","vin_dj_00105",""
"group_2120","","hypothetical protein","2","2","1","5","797","144","4","","299","299","299","vin_ca_00107","vin_dj_00107",""
"group_2121","","hypothetical protein","2","2","1","5","796","144","5","","1052","1052","1052","vin_ca_00108","vin_dj_00108",""
"group_2122","","hypothetical protein","2","2","1","5","795","144","3","","419","419","419","vin_ca_00109","vin_dj_00109",""
"group_2123","","hypothetical protein","2","2","1","5","794","144","2","","416","416","416","vin_ca_00110","vin_dj_00110",""
"ansA","","L-asparaginase 1","2","2","1","5","793","144","1","","1019","1019","1019","vin_ca_00111","vin_dj_00111",""
"pbpG","","D-alanyl-D-alanine endopeptidase","2","2","1","5","934","112","4","","956","956","956","vin_ca_00115","vin_dj_00115",""
"group_2126","","hypothetical protein","2","2","1","5","933","112","5","","542","542","542","vin_ca_00116","vin_dj_00116",""
"nicP_2","","Porin-like protein NicP","2","2","1","5","932","112","6","","1361","1361","1361","vin_ca_00117","vin_dj_00117",""
"cysA_1","","Sulfate/thiosulfate import ATP-binding protein CysA","2","2","1","5","931","112","3","","1067","1067","1067","vin_ca_00118","vin_dj_00118",""
"cysT_1","","Sulfate transport system permease protein CysT","2","2","1","5","930","112","2","","689","689","689","vin_ca_00119","vin_dj_00119",""
"modA_1","","Molybdate-binding periplasmic protein","2","2","1","5","929","112","1","","758","758","758","vin_ca_00120","vin_dj_00120",""
"group_2131","","hypothetical protein","2","2","1","5","927","366","2","","368","368","368","vin_ca_00122","vin_dj_00122",""
"lplT","","Lysophospholipid transporter LplT","2","2","1","5","926","366","1","","1361","1361","1361","vin_ca_00123","vin_dj_00123",""
"group_2133","","hypothetical protein","2","2","1","5","831","309","2","","563","563","563","vin_ca_00126","vin_dj_00126",""
"group_2134","","hypothetical protein","2","2","1","5","830","309","1","","863","863","863","vin_ca_00127","vin_dj_00127",""
"nifK_2","","Nitrogenase molybdenum-iron protein beta chain","2","2","1","5","813","655","1","","1376","1376","1376","vin_ca_00136","vin_dj_00136",""
"fdxB","","Ferredoxin-3","2","2","1","5","817","460","1","","155","155","155","vin_ca_00140","vin_dj_00140",""
"group_2137","","hypothetical protein","2","2","1","5","3066","595","1","","377","377","377","vin_ca_00143","vin_dj_00143",""
"group_2138","","hypothetical protein","2","2","1","5","3071","162","1","","434","434","434","vin_ca_00145","vin_dj_00145",""
"group_2139","","hypothetical protein","2","2","1","5","3072","162","2","","218","218","218","vin_ca_00146","vin_dj_00146",""
"cysA_2","","Sulfate/thiosulfate import ATP-binding protein CysA","2","2","1","5","3073","162","4","","1076","1076","1076","vin_ca_00147","vin_dj_00147",""
"group_2141","","hypothetical protein","2","2","1","5","3074","162","3","","761","761","761","vin_ca_00148","vin_dj_00148",""
"cysE_1","","Serine acetyltransferase","2","2","1","5","3079","310","2","","797","797","797","vin_ca_00153","vin_dj_00153",""
"group_2143","","hypothetical protein","2","2","1","5","3078","310","1","","539","539","539","vin_ca_00154","vin_dj_00154",""
"group_2144","","hypothetical protein","2","2","1","5","3094","238","1","","380","380","380","vin_ca_00160","vin_dj_00160",""
"yeiR","","Zinc-binding GTPase YeiR","2","2","1","5","3095","238","2","","974","974","974","vin_ca_00161","vin_dj_00161",""
"group_2146","","hypothetical protein","2","2","1","5","3096","238","3","","407","407","407","vin_ca_00162","vin_dj_00162",""
"group_2147","","hypothetical protein","2","2","1","5","3099","233","3","","1013","1013","1013","vin_ca_00164","vin_dj_00164",""
"group_2148","","hypothetical protein","2","2","1","5","3098","233","2","","1706","1706","1706","vin_ca_00165","vin_dj_00165",""
"group_2149","","hypothetical protein","2","2","1","5","3097","233","1","","902","902","902","vin_ca_00166","vin_dj_00166",""
"group_2150","","hypothetical protein","2","2","1","5","3105","208","2","","1994","1994","1994","vin_ca_00168","vin_dj_00168",""
"group_2151","","hypothetical protein","2","2","1","5","3106","208","3","","314","314","314","vin_ca_00169","vin_dj_00169",""
"group_2152","","hypothetical protein","2","2","1","5","3107","208","1","","317","317","317","vin_ca_00170","vin_dj_00170",""
"mexA_1","","Multidrug resistance protein MexA","2","2","1","5","3114","425","1","","1133","1133","1133","vin_ca_00179","vin_dj_00179",""
"group_2154","","hypothetical protein","2","2","1","5","3060","272","2","","302","302","302","vin_ca_00181","vin_dj_00181",""
"group_2155","","hypothetical protein","2","2","1","5","3059","272","1","","200","200","200","vin_ca_00182","vin_dj_00182",""
"group_2156","","putative metallo-hydrolase","2","2","1","5","3058","362","1","","863","863","863","vin_ca_00184","vin_dj_00184",""
"group_2157","","hypothetical protein","2","2","1","5","3057","362","2","","419","419","419","vin_ca_00185","vin_dj_00185",""
"group_2158","","hypothetical protein","2","2","1","5","3056","473","1","","554","554","554","vin_ca_00187","vin_dj_00187",""
"dsbA_1","","Thiol:disulfide interchange protein DsbA","2","2","1","5","3127","431","1","","644","644","644","vin_ca_00190","vin_dj_00190",""
